Error Code,Description,Explanation,Suggestion
C 50 A 99,Wrong software on PCB,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 100,Cable not connected,Electrical error control box,Check cable and connections between robot and control box
C 50 A 101,Short circuit in robot detected or wrong robot connected to control box,Electrical error control box,Check robot type. Look for short circuit in cable and in robot arm
C 50 A 102,Voltage rising too slowly,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 103,Voltage failed to reach acceptable level,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 104,The IM MI module does not respond,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 51 A,CRC check failure on secondary bus,,
C 51 A 0,Processor B,,
C 51 A 1,Primary screen processor,CRC check failure on safety processor 1 in Teach Pendant,
C 51 A 2,Secondary screen processor,CRC check failure on safety processor 2 in Teach Pendant,
C 51 A 3,Primary E 67,,
C 51 A 4,Secondary E 67,,
C 53 A,IO over current detected,Control Board error,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 53 A 1,IO Over current detected. Maxis 800 m A,Control Board error,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 53 A 2,IO Over current detected. Maxis 600 m A,Control Board error,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 55 A,Safety system error,Safety system malfunction,"a) Check Motherboard, Control Board, Screen board, Current distributor (Euro map, if installed) . b) Check safety devices and cables/connections to these devices. c) Do a Complete rebooting sequence"
C 55 A 23,Safety relay error (minus connection),Current distributor error,a) Check cable from Control Board to Current distributor or 48 V Power supply and Current distributor for issues b) Do a Complete rebooting sequence
C 55 A 24,Safety relay error (plus connection),Current distributor error,a) Check cable from Control Board to Current distributor or 48 V Power supply and Current distributor for issues b) Do a Complete rebooting sequence
C 55 A 33,Safety relay error (a relay is stuck),Current distributor error,a) Check cable from Control Board to Current distributor or 48 V Power supply and Current distributor for issues b) Do a Complete rebooting sequence
C 55 A 34,Safety relay error (relays are not on),Current distributor error,a) Check cable from Control Board to Current distributor or 48 V Power supply and Current distributor for issues b) Do a Complete rebooting sequence
C 55 A 50,Voltage present at unpowered robot,Safety Control Bord hardware fault,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Control Board"
C 55 A 51,Voltage will not disappear from robot,Safety Control Bord hardware fault,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Control Board"
C 55 A 52,"5 V, 3 V 3 or ADC error (5 V too low)",Safety Control Bord hardware fault,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Control Board"
C 55 A 53,"5 V, 3 V 3 or ADC error (5 V too high)",Safety Control Bord hardware fault,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace Control Board"
C 55 A 100,Safety violation,Safety system malfunction,"a) Check Motherboard, Control Board, Screen board, Current distributor (Euro map, if installed) . b) Check safety devices and cables/connections to these devices. c) Do a Complete rebooting sequence"
C 55 A 101,Safety Channel Error In Safety Control Board,Safety system malfunction,"a) Check Motherboard, Control Board, Screen board, Current distributor (Euro map, if installed) . b) Check safety devices and cables/connections to these devices. c) Do a Complete rebooting sequence"
C 55 A 102,Safety Channel Error In Screen,Safety system malfunction,"a) Check Motherboard, Control Board, Screen board, Current distributor (Euro map, if installed) . b) Check safety devices and cables/connections to these devices. c) Do a Complete rebooting sequence"
C 55 A 103,Safety Channel Error In Euro map 67 Interface,Safety system malfunction,"a) Check Motherboard, Control Board, Screen board, Current distributor (Euro map, if installed) . b) Check safety devices and cables/connections to these devices. c) Do a Complete rebooting sequence"
C 55 A 109,Received fault message from Controller,Safety system malfunction,"a) Check Motherboard, Control Board, Screen board, Current distributor (Euro map, if installed) . b) Check safety devices and cables/connections to these devices. c) Do a Complete rebooting sequence"
C 55 A 110,Safety State is changing too often,Safety system malfunction,"a) Check Motherboard, Control Board, Screen board, Current distributor (Euro map, if installed) . b) Check safety devices and cables/connections to these devices. c) Do a Complete rebooting sequence"
C 55 A 111,On/Off State is changing too often,Safety system malfunction,"a) Check Motherboard, Control Board, Screen board, Current distributor (Euro map, if installed) . b) Check safety devices and cables/connections to these devices. c) Do a Complete rebooting sequence"
C 55 A 112,Robot current sensors readings differ,Safety system malfunction,"a) Check Motherboard, Control Board, Screen board, Current distributor (Euro map, if installed) . b) Check safety devices and cables/connections to these devices. c) Do a Complete rebooting sequence"
C 55 A 120,Robot current is too high while emergency stopped,Safety system malfunction,"a) Check Motherboard, Control Board, Screen board, Current distributor (Euro map, if installed) . b) Check safety devices and cables/connections to these devices. c) Do a Complete rebooting sequence"
C 55 A 121,Robot current is too high while safeguard stopped,Safety system malfunction,"a) Check Motherboard, Control Board, Screen board, Current distributor (Euro map, if installed) . b) Check safety devices and cables/connections to these devices. c) Do a Complete rebooting sequence"
C 56 A,Over voltage shutdown,Voltage exceeded 55 V,a) Check Energy Eaters cable and connections. b) Check Energy. c) Replace Energy Eater
C 57 A,Brake release failure,,"a) Check Brake, solenoid. b) Check TCP configuration, payload and mounting settings"
C 57 A 1,Joint did not move or motor encoder is not functioning,,"a) Check Brake, solenoid. b) Check TCP configuration, payload and mounting settings"
C 57 A 2,Large movement detected during brake release,,"a) Check Brake, solenoid. b) Check TCP configuration, payload and mounting settings"
C 57 A 3,"Robot was not able to brake release, see log for details",,"a) Check Brake, solenoid. b) Check TCP configuration, payload and mounting settings"
C 58 A,Motor encoder not calibrated,,
C 59 A,Over current shutdown,Over current in joint. Argument = Current in Amps,"a) Check for short circuit. b) Do a Complete rebooting sequence. c) If this happens more than two times in a row, replace joint"
C 60 A,Energy surplus shutdown,The power supply is sending energy to the energy eater,a) Ensure power grid is not delivering more than 48 V b) Measure robot energy input c) Contact your local Universal Robots service provider for assistance.
C 61 A,Idle power consumption to high,The system is drawing more power than expected while idle,a) Check Energy Eaters cables and connections b) Check Energy Eater c) Replace Energy Eater
C 62 A,Thermal issue,,"a) Check nothing is hindering free movement of the joints. b) Check TCP configuration, payload and mounting settings"
C 62 A 1,Joint temperature: High(80 C),,"a) Check nothing is hindering free movement of the joints. b) Check TCP configuration, payload and mounting settings"
C 62 A 3,Warning: Static load too high,,"a) Check nothing is hindering free movement of the joints. b) Check TCP configuration, payload and mounting settings"
C 62 A 11,Joint temperature: Shut down(85 C),,"a) Check nothing is hindering free movement of the joints. b) Check TCP configuration, payload and mounting settings"
C 62 A 13,Shutdown: Static load too high,,"a) Check nothing is hindering free movement of the joints. b) Check TCP configuration, payload and mounting settings"
C 63 A,Motor test failed,Joint motor has a failure in a step,
C 64 A,Interface connection error,,
C 65 A,PSU voltage to high,The power supply output voltage is above 48.7 V,a) Ensure supply is not delivering more than 48 V b) Contact support
C 68 A,SPI error,Joint: Ab sol ut encoder on joint communication error,"a) Check for short circuit. b) Do a Complete rebooting sequence. c) If this happens more than several times in a row, replace joint"
C 70 A,Close to gearbox shear limit,Acceleration/deceleration to high. Mechanical problem in gear related to encoder mounting,"a) Reduce acceleration in user program. b) Do a Complete rebooting sequence. c) If this happens more than several times in a row, replace joint"
C 71 A,Startup check error,,Check for the phases of motor in the joint. Update firmware
C 71 A 0,"Hardware is size 0, wrong firmware at the joint",,Update firmware
C 71 A 1,"Hardware is size 1, wrong firmware at the joint",,Update firmware
C 71 A 2,"Hardware is size 2, wrong firmware at the joint",,Update firmware
C 71 A 3,"Hardware is size 3, wrong firmware at the joint",,Update firmware
C 71 A 4,"Hardware is size 4, wrong firmware at the joint",,Update firmware
C 71 A 5,Invalid hardware revision,,Check for the phases of motor in the joint. Update firmware
C 71 A 6,ADC calibration failed,,Check for the phases of motor in the joint. Update firmware
C 71 A 7,Unknown error result,"The motor wires are damaged, bad connection in screw terminals or defect PCB",a) Check joint for damaged or loose connections. b) Replace the joint
C 71 A 8,Motor short circuit to ground or H-bridge problems,"The motor wires are damaged, bad connection in screw terminals or defect PCB",a) Check joint for damaged or loose connections. b) Replace the joint
C 71 A 9,Motor indication signal does not work,"The motor wires are damaged, bad connection in screw terminals or defect PCB",a) Check joint for damaged or loose connections. b) Replace the joint
C 71 A 10,Phase 1 is unconnected or not working,"The motor wires are damaged, bad connection in screw terminals or defect PCB",a) Check joint for damaged or loose connections. b) Replace the joint
C 71 A 11,Phase 2 is unconnected or not working,"The motor wires are damaged, bad connection in screw terminals or defect PCB",a) Check joint for damaged or loose connections. b) Replace the joint
C 71 A 12,Phase 3 or multiple phases is unconnected or not working,The wire is (1) damaged or (2) has been disconnected from the PCB(not likely) or (3) defect PCB,a) Check joint for damaged or loose connections. b) Replace the joint
C 71 A 50,Current sensor test failed,Sensor reported wrong current when probed,a) Check joint for damaged or loose connections. b) Replace the joint
C 71 A 51,Current sensor test failed,Sensor reported wrong current when probed,a) Check joint for damaged or loose connections. b) Replace the joint
C 71 A 52,Current sensor test failed,Sensors reported different currents when probed,a) Check joint for damaged or loose connections. b) Replace the joint
