Error Code,Description,Explanation,Suggestion,Reason Removed
C 296 A 0,Critical error,A critical error occurred during startup,a) Check 10 A fuse b) Do a Complete rebooting sequence c) Update software d) Contact your local Universal Robots service provider for assistance.,Startup self-check at power-up
C 296 A 1,SCBI Of ailed to power on,,Ensure the IO Power Connector on the Safety Control Board is connected to the 24 V DC,Startup self-check at power-up
C 296 A 2,Start up check,One or more Motor phases is short circuited to ground,,Startup self-check at power-up
C 296 A 3,Start up check,Motor Indication Signal does not work,,Startup self-check at power-up
C 296 A 4,Start up check,Phase 1 is not connected.,,Startup self-check at power-up
C 296 A 5,Start up check,Phase 2 is not connected.,,Startup self-check at power-up
C 296 A 6,Start up check,Phase 3 is not connected.,,Startup self-check at power-up
C 296 A 7,Start up check,Motor test results were invalid.,,Startup self-check at power-up
C 296 A 8,Start up check,Motor PW M output is not zero in Joint State,,Startup self-check at power-up
C 296 A 9,Start up check,Robot Voltage was present during self-diagnostics,,Startup self-check at power-up
C 296 A 10,Start up check,Time out during self- diagnostics,,Startup self-check at power-up
C 296 A 11,Start up check,Data was received while trying to disable communication,,Startup self-check at power-up
C 296 A 12,Start up check,Sequence number did not match expected sequence,,Startup self-check at power-up
C 296 A 13,Start up check,Check the expected sequence number,,Startup self-check at power-up
C 296 A 14,Start up check,Check the actual sequence number,,Startup self-check at power-up
C 296 A 15,Start up check,Interval between messages did not match expectations,,Startup self-check at power-up
C 296 A 16,Start up check,Check the expected interval ticks,,Startup self-check at power-up
C 296 A 17,Start up check,Check the measured interval ticks,,Startup self-check at power-up
C 296 A 18,Start up check,Motor Kt value is outside manufacturer specifications,,Startup self-check at power-up
C 296 A 19,Start up check,Motor Kb value is outside manufacturer specifications,,Startup self-check at power-up
C 296 A 20,Start up check,Motor R value is outside manufacturer specifications,,Startup self-check at power-up
C 296 A 21,Start up check,Motor L value is outside manufacturer specifications,,Startup self-check at power-up
C 296 A 22,Start up check,Processor u B has been in Booting state for too long,,Startup self-check at power-up
C 296 A 23,Start up check,Cross-monitoring data was invalid for too long while booting,,Startup self-check at power-up
C 296 A 24,Start up check,Motor Tau value is outside manufacturer specifications,,Startup self-check at power-up
C 297 A,Joint validation,Validation during power up.,a) Do a Complete rebooting sequence b) Check that SD card and robot type match. c) Update software d) Contact your local Universal Robots service provider for assistance.,SD card / robot type mismatch – setup/configuration phase only
C 297 A 0,Critical error,A critical error occurred during Joint validation,a) Do a Complete rebooting sequence b) Check that SD card and robot type match. c) Update software d) Contact your local Universal Robots service provider for assistance.,SD card / robot type mismatch – setup/configuration phase only
C 297 A 6,Joint validation,Joint processors disagree on Joint ID.,,Joint ID configuration – setup only
C 297 A 9,Joint validation,Joint IDs need updating,,Joint ID configuration – setup only
C 297 A 11,The Robot arm does not match the Control Box,One or more joints do not match stored Robot Configuration,a) Do a Complete rebooting sequence b) Check that SD card and robot type match. c) Update software d) Contact your local Universal Robots service provider for assistance.,SD card / robot type mismatch – setup/configuration phase only
C 306 A 5,Joint,Joint ID could not be stored,,Joint ID configuration – setup only
C 312 A 0,Critical error,A critical error occurred during data validation,a) Do a Complete rebooting sequence b) Check for ES D noise. c) Update software d) Contact your local Universal Robots service provider for assistance.,ES D handling note – maintenance/service only
C 313 A 0,App version,Check build version,,App/firmware version check – boot phase only
C 313 A 1,App version,Checkgit sha,,App/firmware version check – boot phase only
C 313 A 2,App version,Check CRC code,,App/firmware version check – boot phase only
C 313 A 3,App version,Check build major version,,App/firmware version check – boot phase only
C 313 A 4,App version,Check build minor version,,App/firmware version check – boot phase only
C 313 A 5,App version,Check build patch version,,App/firmware version check – boot phase only
